frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
57,649,414,332,0.286902,0.230076,2.198138234727809e-15,0.013762125886858883,-9.15748340307609e-15,-1.3724434310051954,,,,,,,,,492,436,0.34095600000000004,0.302148,4.396276469455618e-15,0.0,2.2235268231817286e-13,5.701706654593988e-13,,,,,,,,,,,,,,,,
58,653,414,332,0.286902,0.230076,-0.0077112954232267635,-2.9578207938143526e-15,-1.2660758769068468,7.671525530605192e-14,,,,,,,,,492,436,0.34095600000000004,0.302148,-1.9718805292095684e-15,-3.943761058419137e-15,2.643265965419174e-13,6.197176396871521e-13,,,,,,,,,,,,,,,,
59,660,414,332,0.286902,0.230076,-0.010562109087498023,5.5963801318943655e-15,-1.524116610462497,-1.3147989471491542e-13,,,,,,,,,492,436,0.34095600000000004,0.302148,1.8654600439647886e-15,3.730920087929577e-15,4.1291222340520807e-13,1.373464487350516e-13,,,,,,,,,,,,,,,,
60,679,414,332,0.286902,0.230076,-0.03200350409258843,0.017888606417096914,-1.1209639084305738,1.9841820414563294,,,,,,,,,492,436,0.34095600000000004,0.302148,5.927808887982983e-15,1.9759362959943274e-15,1.2173115799422693e-13,4.0313846186988165e-13,,,,,,,,,,,,,,,,
61,691,412,332,0.285516,0.230076,-0.034641541919452436,0.04635240469767724,-0.4173196073789151,2.4936277837290217,,,,,,,,,492,436,0.34095600000000004,0.302148,0.0,1.9834900780964086e-15,-7.194580087209342e-14,2.1148838311960627e-13,,,,,,,,,,,,,,,,
62,699,412,332,0.285516,0.230076,-0.021133666467820375,0.03760087597077451,0.7776297438730105,1.128672834055387,,,,,,,,,492,436,0.34095600000000004,0.302148,0.0,2.156687855763871e-15,-4.7403656868317156e-14,3.629318125791273e-13,,,,,,,,,,,,,,,,
63,705,412,334,0.285516,0.231462,-0.02433791408594515,0.03372271202446794,1.5604572473705498,-1.0104644866044568,,,,,,,,,492,436,0.34095600000000004,0.302148,2.1849027477376155e-15,-2.1849027477376155e-15,-1.2404373663077682e-13,3.61405401268794e-13,,,,,,,,,,,,,,,,
64,709,412,334,0.285516,0.231462,0.0049315526405893685,0.04162313621769032,-1.4215036931848755,-0.4776771597282921,,,,,,,,,492,436,0.34095600000000004,0.302148,-1.7977110398269977e-15,-3.595422079653995e-15,7.036385645335368e-13,6.460388896271626e-13,,,,,,,,,,,,,,,,
65,722,412,334,0.285516,0.231462,-0.009960301471443653,0.031432229778279225,-1.004821121737976,-0.08016119295269948,,,,,,,,,492,436,0.34095600000000004,0.302148,0.0,3.244034228228731e-15,4.710673662399356e-13,3.075349161682317e-13,,,,,,,,,,,,,,,,
66,742,412,334,0.285516,0.231462,-0.02378535120887937,0.023785351208877797,-0.5062571621265028,0.5062571621261426,,,,,,,,,492,436,0.34095600000000004,0.302148,-1.573084163418925e-15,-1.573084163418925e-15,-1.1809720042703547e-13,-1.2163053856513705e-13,,,,,,,,,,,,,,,,
